customer_id,rooftop,brand,opportunity_type,best_channel,priority_score,predicted_book_rate,estimated_gross,owner,recommended_next_step
CUST0342,Chrysler Dodge Jeep Ram,Commercial,Recall due,Email + SMS,99.6,0.418,420,Service,Send safety recall booking sequence
CUST0008,Chrysler Dodge Jeep Ram,Jeep,Recall due,Email + SMS,98.6,0.384,498,Service,Send safety recall booking sequence
CUST0342,Chrysler Dodge Jeep Ram,Commercial,Declined work recovery,Email + SMS,97.5,0.328,546,Service,Send deferred maintenance estimate recap
CUST0058,Ford,Ford,Recall due,Email + SMS,97.4,0.403,472,Service,Send safety recall booking sequence
CUST0413,Ford,Ford,Recall due,Phone follow-up,97.3,0.376,472,Service,Send safety recall booking sequence
CUST0413,Ford,Ford,Commercial fleet service,Phone follow-up,97.1,0.266,780,Commercial,Assign fleet service cadence outreach
CUST0423,Chrysler Dodge Jeep Ram,Commercial,Recall due,Email + SMS,96.5,0.399,551,Service,Send safety recall booking sequence
CUST0182,Ford,Ford,Recall due,Email + SMS,95.9,0.474,498,Service,Send safety recall booking sequence
CUST0342,Chrysler Dodge Jeep Ram,Commercial,State inspection due,Email + SMS,95.8,0.348,380,Service,Trigger inspection reminder with online scheduler
CUST0058,Ford,Ford,Declined work recovery,Email + SMS,95.6,0.313,615,Service,Send deferred maintenance estimate recap
CUST0413,Ford,Ford,Declined work recovery,Phone follow-up,95.5,0.286,615,Service,Send deferred maintenance estimate recap
CUST0008,Chrysler Dodge Jeep Ram,Jeep,State inspection due,Email + SMS,94.7,0.314,451,Service,Trigger inspection reminder with online scheduler
CUST0182,Ford,Ford,Declined work recovery,Email + SMS,94.2,0.384,649,Service,Send deferred maintenance estimate recap
CUST0008,Chrysler Dodge Jeep Ram,Jeep,Hunter alignment finding,Advisor video + SMS,93.9,0.344,308,Service,Send alignment finding video and tire offer
CUST0413,Ford,Ford,State inspection due,Phone follow-up,93.5,0.306,427,Service,Trigger inspection reminder with online scheduler
CUST0085,Chrysler Dodge Jeep Ram,Jeep,Declined work recovery,Phone + Email,93.4,0.333,649,Service,Send deferred maintenance estimate recap
CUST0087,Chrysler Dodge Jeep Ram,Jeep,Recall due,Phone + Email,93.4,0.415,577,Service,Send safety recall booking sequence
CUST0058,Ford,Ford,Hunter alignment finding,Advisor video + SMS,92.8,0.363,292,Service,Send alignment finding video and tire offer
CUST0263,Ford,Commercial,Recall due,Phone follow-up,92.8,0.376,525,Service,Send safety recall booking sequence
CUST0423,Chrysler Dodge Jeep Ram,Commercial,State inspection due,Email + SMS,92.6,0.329,498,Service,Trigger inspection reminder with online scheduler
CUST0085,Chrysler Dodge Jeep Ram,Jeep,State inspection due,Phone + Email,91.2,0.353,451,Service,Trigger inspection reminder with online scheduler
CUST0056,Ford,Commercial,Recall due,Phone + Email,90.0,0.405,472,Service,Send safety recall booking sequence
CUST0187,Chrysler Dodge Jeep Ram,Ram,Declined work recovery,Email + SMS,90.0,0.316,683,Service,Send deferred maintenance estimate recap
CUST0413,Ford,Ford,Service lapse 12+ months,Phone follow-up,89.4,0.236,367,Service,Run win-back offer with advisor call list
CUST0316,Ford,Commercial,Declined work recovery,Email + SMS,89.0,0.309,751,Service,Send deferred maintenance estimate recap
CUST0263,Ford,Commercial,State inspection due,Phone follow-up,88.8,0.306,474,Service,Trigger inspection reminder with online scheduler
CUST0423,Chrysler Dodge Jeep Ram,Commercial,Service lapse 12+ months,Email + SMS,88.3,0.259,428,Service,Run win-back offer with advisor call list
CUST0087,Chrysler Dodge Jeep Ram,Jeep,Hunter alignment finding,Advisor video + SMS,88.2,0.376,357,Service,Send alignment finding video and tire offer
CUST0263,Ford,Commercial,Hunter alignment finding,Advisor video + SMS,87.9,0.336,324,Service,Send alignment finding video and tire offer
CUST0417,Ford,Ford,Recall due,Phone + Email,87.8,0.459,393,Service,Send safety recall booking sequence
CUST0187,Chrysler Dodge Jeep Ram,Ram,State inspection due,Email + SMS,87.7,0.336,474,Service,Trigger inspection reminder with online scheduler
CUST0362,Chrysler Dodge Jeep Ram,Chrysler,Recall due,Email + SMS,87.7,0.396,393,Service,Send safety recall booking sequence
CUST0468,Ford,Ford,Recall due,Email + SMS,87.4,0.433,472,Service,Send safety recall booking sequence
CUST0085,Chrysler Dodge Jeep Ram,Jeep,Service lapse 12+ months,Phone + Email,87.1,0.283,387,Service,Run win-back offer with advisor call list
CUST0187,Chrysler Dodge Jeep Ram,Ram,Hunter alignment finding,Advisor video + SMS,86.7,0.366,324,Service,Send alignment finding video and tire offer
CUST0404,Ford,Ford,Recall due,Email + SMS,86.5,0.378,367,Service,Send safety recall booking sequence
CUST0316,Ford,Commercial,State inspection due,Email + SMS,86.4,0.329,522,Service,Trigger inspection reminder with online scheduler
